"spk" "vow" "F1" "F2" "F3" "F4"
"71" "VT08" "a:" 876.789795 1555.855591 2994.304688 4048.4646
"72" "VT08" "@:" 387.478729 2039.498657 2595.35791 3573.406494
"73" "VT08" "O" 632.860229 1171.636108 2953.408447 3918.005859
"74" "VT08" "@:" 429.442383 2027.115479 2581.900391 4383.100586
"75" "VT08" "i:" 226.166199 2610.072021 3182.588135 3669.370117
"76" "VT08" "a:" 921.199768 1607.341675 2803.925781 3994.96582
"77" "VT08" "A" 564.20813 2299.124512 2753.25415 4180.109863
"78" "VT08" "I" 423.048004 2049.567871 2874.716309 4284.418457
"79" "VT08" "o:" 402.224701 811.870667 3129.194092 4159.848633
"80" "VT08" "u:" 359.372406 1861.015381 2530.147217 3437.855957
"81" "VT08" "E" 417.635345 2596.52832 2906.543213 3415.139893
"82" "VT08" "i:" 291.872192 2681.691162 3180.9646 4774.476563
"83" "VT08" "E" 435.124634 2518.710449 2810.23291 3369.448242
"84" "VT08" "A" 604.330017 2267.679688 2839.679199 4139.011719
"85" "VT08" "a:" 808.38678 1495.029053 2995.690186 4067.141846
"86" "VT08" "O" 600 1135.81665 3011.842041 3960.9646
"87" "VT08" "o:" 380.41626 783.995911 3191.814941 4219.971191
"88" "VT08" "u:" 309.784241 1863.150513 2443.299316 3475.204834
"89" "VT08" "@:" 449.257996 1957.204224 2531.403076 3596.214844
"90" "VT08" "I" 459.583344 2080.382813 2876.753418 4193.729004
"91" "VT03" "I" 446.86499 1884.334229 2669.016113 3592.416504
"92" "VT03" "@:" 473.096313 1470.452637 2331.929199 3382.122803
"93" "VT03" "u:" 299.383972 1424.818848 3317.885498 3816.719482
"94" "VT03" "o:" 408.623413 753.174072 2483.247314 3324.359619
"95" "VT03" "O" 616.151672 975.856812 2649.99292 3392.331543
"96" "VT03" "a:" 738.868774 1269.071777 2701.172607 3672.156006
"97" "VT03" "A" 648.599915 1733.509766 2582.915039 3405.675537
"98" "VT03" "E" 452.560791 1995.55481 2874.545654 3556.970703
"99" "VT03" "i:" 289.69101 2148.924316 3427.321777 3807.774414
"100" "VT03" "O" 600.940796 1001.169739 2666.796387 3432.328613
"101" "VT03" "I" 418.495636 1867.516968 2725.704834 3509.299561
"102" "VT03" "a:" 752.572754 1388.274414 2661.921875 3569.032959
"103" "VT03" "@:" 464.68985 1471.993896 2596.613281 3407.607422
"104" "VT03" "A" 621.852234 1811.883423 2688.783447 3509.476807
"105" "VT03" "u:" 306.340851 1420 3208.336426 3735.59082
"106" "VT03" "E" 426.685883 2022.955933 2864.536621 3437.047363
"107" "VT03" "o:" 424.950775 818.963989 2600.445068 3214.892334
"108" "VT03" "i:" 256.598053 2213.942383 3204.93457 3706.352783
"109" "VT03" "E" 390.963898 2010.444946 2769.270996 3371.506836
"110" "VT03" "o:" 414.923584 860 2620 3711.88916
"111" "VT03" "A" 604.923218 1850.85022 2605.370361 3426.084473
"112" "VT03" "i:" 267.069519 2156.180176 3160.891846 3505.536377
"113" "VT03" "O" 557.671387 933.309814 2715.503174 3432.608643
"114" "VT03" "u:" 291.510681 1480 2160 3665.780762
"115" "VT03" "I" 428.461945 1859.26062 2722.86377 3401.473877
"116" "VT03" "a:" 723.963623 1290.246582 2671.766602 3538.213623
"117" "VT03" "@:" 441.080963 1431.802612 2264.874268 3267.018066
"118" "VT03" "O" 575.124756 1004.625366 2555.08374 3323.390625
"119" "VT03" "@:" 484.44043 1549.252075 2403.351318 3242.76709
"120" "VT03" "i:" 293.049652 2049.22876 3288.680176 3611.039307
"121" "VT03" "a:" 648.442322 1286.300903 2418.084229 3264.280518
"122" "VT03" "A" 599.678406 1827.334351 2774.300049 3374.560303
"123" "VT03" "I" 432.868958 1872.436279 2703.911621 3455.502197
"124" "VT03" "o:" 408.389862 770.552917 2556.239014 3311.632568
"125" "VT03" "u:" 295.218842 1360 2020 3813.398438
"126" "VT03" "E" 425.99826 1936.104248 2746.649658 3320.860596
"127" "VT03" "i:" 258.838745 2122.273438 3093.293945 3420.75
"128" "VT03" "E" 424.694092 2021.324707 2674.689453 3720.100342
"129" "VT03" "A" 593.3396 1818.426147 2642.732178 3459.789063
"130" "VT03" "a:" 702.373657 1364.319824 2481.999756 3323.280273
"131" "VT03" "O" 599.824341 1001.815491 2716.159424 3476.914795
"132" "VT03" "o:" 402.775787 800.491821 3397.578857 4125.895996
"133" "VT03" "u:" 297.80368 1262.102661 3254.46582 3809.933594
"134" "VT03" "@:" 470.691071 1536.172974 3466.32959 4206.755859
"135" "VT03" "I" 417.83194 1761.861328 2756.56543 3563.68335
"136" "VT10" "I" 470.646759 1762.234253 2493.685547 3473.904541
"137" "VT10" "@:" 327.802185 1651.438232 2238.547363 3970.359619
"138" "VT10" "u:" 343.275055 1412.796997 3128.846191 3885.24707
"139" "VT10" "o:" 311.258698 730.46582 2145.386963 3537.552979
"140" "VT10" "O" 470.644104 885.631897 2365.914307 3821.559082
"141" "VT10" "a:" 810.985107 1372.349365 2277.039307 4376.40918
"142" "VT10" "A" 612.483765 1724.341553 2411.401611 3405.746826
"143" "VT10" "E" 305.161652 2029.25 2722.523682 3370.101318
"144" "VT10" "i:" 246.727615 2081.23877 3081.9729 4064.905273
"145" "VT10" "O" 549.294678 996.176575 2308.876221 2805.241455
"146" "VT10" "I" 496.980103 1727.128418 2501.696533 3349.162109
"147" "VT10" "a:" 832.507935 1401.115234 2338.74707 4479.987793
"148" "VT10" "@:" 317.533997 1698.223999 2294.931396 3303.615723
"149" "VT10" "A" 570.369507 1780.405518 2426.736328 3253.348389
"150" "VT10" "u:" 336.770111 1499.096802 2021.420898 3826.749023
"151" "VT10" "E" 311.541046 2059.993164 2824.893066 3406.934082
"152" "VT10" "o:" 324.892059 780.853943 2172.866211 3709.936768
"153" "VT10" "i:" 285.860962 2070.174316 2866.906982 4187.186523
"154" "VT10" "E" 376.787506 2094.052734 2803.195068 3428.526855
"155" "VT10" "o:" 344.96698 777.788513 2960.030029 3783.915527
"156" "VT10" "A" 656.423889 1711.854004 2360.181641 4338.280273
"157" "VT10" "i:" 246.649384 2102.567383 3246.900635 4087.325928
"158" "VT10" "O" 610.60376 922.721008 2336.953613 3715.722412
"159" "VT10" "u:" 333.543915 1436.159912 2023.762451 3926.433594
"160" "VT10" "I" 497.145844 1633.097046 3472.853271 4091.01709
"161" "VT10" "a:" 758.094238 1316.325806 2222.120117 3864.695801
"162" "VT10" "@:" 426.917999 1615.494019 2224.37085 3940.467041
"163" "VT10" "O" 561 1096 3106.038574 4444.869629
"164" "VT10" "@:" 373.251892 1672.930542 2267.588867 4074.476318
"165" "VT10" "i:" 273.646667 2096.910645 3208.516113 4085.717285
"166" "VT10" "a:" 744.819153 1353.310669 2403.868164 3965.167969
"167" "VT10" "A" 607.503296 1709.753052 2366.813721 4098.119141
"168" "VT10" "I" 438.188293 1655.698242 2469.777832 4126.496582
"169" "VT10" "o:" 318.866425 713.979065 2351.126709 3268.999756
"170" "VT10" "u:" 317.088165 1494.802856 2038.322266 3858.689941
"171" "VT10" "E" 375.408844 1960.04248 2717.905029 4104.344727
"172" "VT10" "i:" 298.644867 2178.55835 3430.95166 3993.763184
"173" "VT10" "E" 367.981995 2228.26001 3448.628906 4087.148193
"174" "VT10" "A" 631.980408 1837.494873 2413.827881 3252.267334
"175" "VT10" "a:" 738.23761 1303.843384 2271.823242 3711.145508
"176" "VT10" "O" 603.19281 903.016785 2254.573242 3658.324951
"177" "VT10" "o:" 319.580566 595.157532 2124.592285 3040.490479
"178" "VT10" "u:" 304.137726 1442.23938 3330.131592 3945.627686
"179" "VT10" "@:" 421.098633 1682.990845 3260.039795 3951.681396
"180" "VT10" "I" 490.608154 1673.463745 2468.753418 3147.770508
"181" "VT05" "U" 399.121033 1229.513306 2259.653076 3383.606934
"182" "VT05" "a:" 642.472351 1307.544434 2376.925293 3537.278076
"183" "VT05" "V" 628.609009 1367.320435 2423.012207 3638.455566
"184" "VT05" "I" 422.670166 1738.421509 2553.905762 3559.895996
"185" "VT05" "@:" 455.885193 1493.99707 2300.116699 3378.611084
"186" "VT05" "u:" 312.276733 1343.508301 2133.899902 3370.022705
"187" "VT05" "o:" 451.964935 804.299683 2559.153564 3796.382813
"188" "VT05" "O" 597.558777 991.99585 2427.222656 3425.758545
"189" "VT05" "a:" 720.651978 1326.385742 2434.589111 3650.664063
"190" "VT05" "A" 601.840149 1654.235718 2487.562012 3785.203613
"191" "VT05" "E" 439.176422 1803.026489 2607.23291 3862.205566
"192" "VT05" "i:" 242.389145 2272.702637 2951.070557 3826.329102
"193" "VT05" "V" 573.616821 1379.095825 2394.888184 3611.881348
"194" "VT05" "O" 577.953613 1038.607178 2253.49292 3556.943115
"195" "VT05" "I" 357.965057 1911.276367 2758.273438 3982.69043
"196" "VT05" "a:" 634.701111 1343.698364 2503.15918 3609.521973
"197" "VT05" "@:" 452.89267 1465.199707 2268.431152 3504.196533
"198" "VT05" "A" 555.625061 1680.467163 2515.547363 3725.356689
"199" "VT05" "u:" 281.205658 1363.976807 2199.899902 3397.478027
"200" "VT05" "E" 413.11142 1794.740479 2582.438477 3793.182861
"201" "VT05" "o:" 418.227905 722.851013 2515.368164 3515.489746
"202" "VT05" "i:" 276.229218 2242.792725 3678.078369 3924.398926
"203" "VT05" "O" 566.746094 983.419373 2396.657471 3572.362793
"204" "VT05" "U" 347.969696 1138.169067 2221.26001 3979.332031
"205" "VT05" "V" 607.349182 1389.759644 2421.468262 3526.287109
"206" "VT05" "E" 464.351837 1762.722778 2412.202393 3742.626709
"207" "VT05" "o:" 352.118958 749.961853 2383.408691 3470.587158
"208" "VT05" "A" 581.520508 1631.173218 2430.89624 3763.408203
"209" "VT05" "i:" 262.223602 2183.276123 3153.974609 3840.410156
"210" "VT05" "O" 584.328003 1081.93689 2215.479736 3548.951904
"211" "VT05" "u:" 316.493988 1480.331421 2144.47583 3844.395508
"212" "VT05" "I" 391.18277 1779.576172 2567.991699 3765.189941
"213" "VT05" "a:" 685.918762 1301.657104 2318.960693 3558.577393
"214" "VT05" "@:" 466.066315 1468.437622 2383.938232 3854.315186
"215" "VT05" "E" 446.286316 1765.467651 2592.0271 3877.002197
"216" "VT05" "U" 419.225525 1241.644531 2263.87207 3443.368652
"217" "VT05" "U" 351.159241 1358.427612 2254.532227 3671.061523
"218" "VT05" "O" 593.912598 1035.403931 2118.801758 3514.941162
"219" "VT05" "@:" 444.50531 1547.796509 2431.747559 3614.853027
"220" "VT05" "i:" 244.232361 2268.753662 3238.418213 3694.759521
"221" "VT05" "a:" 626.465332 1461.684692 2689.281738 3714.545654
"222" "VT05" "A" 545.034546 1666.493164 2541.390625 3799.418701
"223" "VT05" "I" 362.287323 1770.620605 2536.473633 3809.296143
"224" "VT05" "o:" 442.741547 781.985779 2467.845703 3844.483154
"225" "VT05" "u:" 269.101135 1455.796387 2205.675049 3880.351074
"226" "VT05" "E" 442.810394 1822.392456 2679.006592 3676.550781
"227" "VT05" "O" 572.454285 1118.209351 2291.596436 3646.614014
"228" "VT05" "U" 598.061523 1374.699097 2444.015869 3751.426514
"229" "VT05" "@:" 443.367035 1427.293213 2403.934082 3601.206299
"230" "VT05" "U" 391.300079 1279.578613 2230.437988 3895.604248
"231" "VT05" "V" 601.448059 1369.828369 2461.876953 3754.681152
"232" "VT05" "i:" 253.382416 2194.514893 3049.192383 3644.396729
"233" "VT05" "E" 447.916931 1697.646606 2577.174561 3734.121826
"234" "VT05" "A" 556.074768 1649.027588 2516.637451 3835.575684
"235" "VT05" "a:" 675.504272 1330.649292 2373.607666 3800.025391
"236" "VT05" "O" 615.567627 1079.639282 2409.469482 3513.362305
"237" "VT05" "o:" 440.119263 793.026917 2482.218262 3917.291992
"238" "VT05" "u:" 314.99057 1333.79834 3435.644775 3936.486816
"239" "VT05" "@:" 458.652161 1429.785889 2392.836426 3384.135498
"240" "VT05" "I" 398.995117 1722.696167 2541.539795 3412.685791
